,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,arrivé,come
18,19,devrait,should
19,20,bébé,baby
20,21,longtemps,long time
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,26,aucune,any
26,27,place,square
27,28,parle,speak
28,29,compris,understood
29,30,savais,knew
30,31,étaient,were
31,32,voici,here is
32,33,pourrais,could
33,34,affaire,case
34,35,donner,give
35,36,type,type
36,37,leurs,their
37,38,donné,given
38,39,train,train
39,40,corps,body
40,41,endroit,place
41,42,yeux,eyes
42,43,façon,way
43,44,écoute,listen
44,45,trouve,find
45,46,premier,first
46,47,perdu,lost
47,48,main,hand
48,49,première,first
49,50,côté,side
50,51,pouvoir,power
51,52,vieux,old
52,53,sois,be
53,54,matin,morning
54,55,enfant,child
55,56,venu,came
56,57,suite,after
57,58,pardon,sorry
58,59,venez,come
59,60,devant,in front of
60,61,vers,towards
61,62,minutes,minutes
62,63,demandé,request
63,64,chambre,bedroom
64,65,mis,placed
65,66,belle,beautiful
66,67,aimerais,would like to
67,68,aujourd'hui,today
68,69,mari,husband
69,70,cause,cause
70,71,espère,hope
71,72,eau,water
72,73,attendez,Wait
73,74,parti,left
74,75,nouvelle,new
75,76,boulot,job
76,77,arrêter,Stop
77,78,dirait,would say
78,79,terre,Earth
79,80,compte,account
80,81,donne,given
81,82,loin,far
82,83,fin,end
83,84,croire,believe
84,85,chérie,sweetheart
85,86,gros,large
86,87,plutôt,rather
87,88,aura,will have
88,90,jouer,to play
89,91,bureau,office
